gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DG1	DG2	DG3	S1	S2	S3	S4
MSTRG.10256_jg24831	1186.138725	5.796442673	0.418299869	13.85714676	1.15E-43	2.93E-41	40.75228053	44.16373261	25.60141302	1450.821275	1358.403421	2339.675714	3043.553238
MSTRG.1494_jg7824	3091.614208	-15.10920656	1.092410684	-13.83106809	1.66E-43	4.18E-41	4904.189076	7843.179496	8893.930883	0	0	0	0
MSTRG.3227_jg27292	246.5223307	-5.384601674	0.390262272	-13.79739231	2.64E-43	6.61E-41	478.0938277	731.3214705	462.5321952	16.76504585	13.89397676	12.44508359	10.60471512
MSTRG.36344_jg19015	8229.356041	6.618971793	0.481308643	13.75203186	4.95E-43	1.23E-40	156.0514157	175.1578547	104.9657934	9121.47456	6925.613033	20870.40517	20251.82446
MSTRG.33912_jg31054	1424.761337	4.35965053	0.31730981	13.73941301	5.90E-43	1.45E-40	146.1118351	114.5262896	91.31170644	1677.794204	2974.379795	2782.513272	2186.692257
MSTRG.27941_jg4130	2182.940581	3.863802296	0.281282937	13.73635506	6.15E-43	1.50E-40	249.4834735	250.0116388	249.1870867	2536.680399	3204.164795	4667.943435	4123.113237
MSTRG.18661_jg23036	360.6688824	-6.063939705	0.442381882	-13.70747752	9.16E-43	2.20E-40	1067.510958	736.5612354	670.7570211	18.05466476	16.03151165	6.222541793	9.544243604
MSTRG.21957_jg28117	1392.462734	2.557958873	0.18661146	13.70740508	9.17E-43	2.20E-40	311.1088733	397.4735935	391.7016192	2167.84939	1932.331538	2328.267721	2218.506402
MSTRG.26413_jg16625	1317.401117	-5.609438342	0.412573816	-13.59620541	4.22E-42	1.00E-39	2639.952612	2629.613435	3707.937986	25.79237823	81.2263257	72.59632092	64.6887622
MSTRG.19608_jg32052	528.9024107	-5.661104122	0.419269857	-13.5022922	1.52E-41	3.55E-39	1522.74375	1168.46757	916.5305861	14.18580802	24.5816512	17.63053508	38.17697442
MSTRG.24603_jg35844	736.4595202	-3.557541698	0.264322019	-13.45911974	2.72E-41	6.33E-39	1565.483947	1505.309598	1559.979433	130.25151	116.4956513	100.597759	177.0987424
MSTRG.9031_jg7231	1736.150025	3.103989065	0.231152956	13.42829058	4.13E-41	9.45E-39	321.0484539	313.6373553	340.4987932	2280.046235	2444.271143	2984.74588	3468.802314
MSTRG.2662_jg26762	12607.71138	-6.930704398	0.517791152	-13.38513486	7.39E-41	1.68E-38	31634.70323	25572.29826	30093.60762	68.3498023	232.9913027	289.3481934	362.6812569
MSTRG.18493_jg22872.1	709.1767902	-10.55317875	0.791072436	-13.34034441	1.35E-40	3.04E-38	1555.544366	1782.268599	1622.276205	0	0	4.148361195	0
MSTRG.18270_jg22657	8075.707492	7.458634124	0.560722079	13.30183777	2.26E-40	5.05E-38	117.2870513	78.59647328	44.37578257	7613.910053	20322.61294	21572.51531	6780.654845
MSTRG.19624_jg32069	796.902319	-6.557256187	0.493243102	-13.29416704	2.50E-40	5.56E-38	1472.051889	2121.356241	1906.45189	32.24047278	14.96274421	24.89016717	6.362829069
MSTRG.11887_jg34271	432.5849948	-9.002815661	0.681449362	-13.21127608	7.55E-40	1.66E-37	835.9187298	974.5962687	1209.240075	5.158475645	0	0	3.181414535
MSTRG.35040_jg17822.1	397.6821836	-7.598055829	0.575887455	-13.19364706	9.55E-40	2.09E-37	976.0668165	1080.888642	707.4523798	7.737713468	7.481372104	4.148361195	0
MSTRG.6031_jg14839	4369.786034	-6.718787895	0.509600323	-13.1844263	1.08E-39	2.34E-37	5715.258854	15927.38818	8562.819275	157.3335072	51.30083728	72.59632092	101.8052651
MSTRG.3327_jg27389	1314.890319	4.271709672	0.325563589	13.12096872	2.50E-39	5.38E-37	90.45018361	163.1812493	89.60494557	2238.77843	1704.684072	2299.229193	2618.304162
MSTRG.815_jg16164	294.3124131	4.755494062	0.362678566	13.11214533	2.81E-39	6.00E-37	15.90332899	23.20467307	16.21422825	368.8310086	453.157396	544.4724069	638.4038499
MSTRG.27338_jg17525	13667.53464	-9.139398594	0.700804762	-13.04129066	7.12E-39	1.51E-36	26938.25139	31726.02784	36783.25685	18.05466476	16.03151165	130.6733777	60.44687616
MSTRG.22906_jg12899	1698.963238	-3.826901475	0.294857718	-12.9788072	1.61E-38	3.40E-36	3640.86838	4120.700814	3110.571682	176.6777909	343.0743493	268.6063874	232.243261
MSTRG.3221_jg27288	2553.225864	-13.39271272	1.032369308	-12.9727924	1.75E-38	3.66E-36	5725.198435	5977.074659	6168.233777	0	0	2.074180598	0
MSTRG.33480_jg30633	2752.031542	-4.965235839	0.382892522	-12.96770126	1.87E-38	3.88E-36	5414.089562	7028.021787	6032.546288	297.9019685	230.8537678	144.1555515	116.6518663
MSTRG.27197_jg17388	1441.944111	3.229100884	0.249324021	12.95142309	2.31E-38	4.76E-36	196.8036962	245.5204118	304.6568149	2810.079608	2030.658142	2213.150698	2292.739408
MSTRG.4803_jg26235	8741.875783	12.5750139	0.971994955	12.93732424	2.77E-38	5.68E-36	7.951664493	0	0	16745.70156	5647.367171	18200.93474	20591.17534
MSTRG.29948_jg9686	1857.893615	-2.705351065	0.209184759	-12.93283069	2.94E-38	5.98E-36	4127.90783	3298.806264	3370.852714	584.1973668	597.4410008	444.9117382	581.1383883
MSTRG.29935_jg9673	2176.944995	6.288259313	0.487046683	12.91099915	3.90E-38	7.89E-36	58.64352564	67.36840567	18.77436955	3755.37027	2261.51191	4593.272934	4483.673551
MSTRG.10801_jg3174	7431.452829	16.32791165	1.265113409	12.90628297	4.15E-38	8.33E-36	0	0	0	7267.002565	10834.09557	20278.22661	13640.84505
