ID	HG1
MSTRG.6592	0
MSTRG.18526	82
MSTRG.38728	584
MSTRG.18527	0
MSTRG.38729	67
MSTRG.18524	233
MSTRG.34256	116
MSTRG.12419	0
MSTRG.6596	347
MSTRG.24008	0
MSTRG.24009	0
MSTRG.6595	49
MSTRG.24002	59
MSTRG.24003	450
MSTRG.24000	115
MSTRG.28777	5
MSTRG.24006	0
MSTRG.24007	0
MSTRG.24004	21
MSTRG.24005	1409
MSTRG.38722	3696
MSTRG.22893	563
MSTRG.1908	0
MSTRG.34258	0
MSTRG.13995	1
MSTRG.34259	62
MSTRG.22892	0
MSTRG.1400	0
MSTRG.1401	0
MSTRG.30288	0
MSTRG.1408	0
MSTRG.1409	232
MSTRG.22992	56
MSTRG.23850	0
MSTRG.23851	22
MSTRG.23852	99
MSTRG.23853	406
MSTRG.23854	0
MSTRG.23855	0
MSTRG.23856	0
MSTRG.23857	0
MSTRG.23858	0
MSTRG.23859	0
MSTRG.8232	168
MSTRG.21980	102
MSTRG.21981	6
MSTRG.21982	12
MSTRG.21983	14
MSTRG.21984	11
MSTRG.21985	0
MSTRG.21986	131
MSTRG.21987	2098
MSTRG.21988	100
MSTRG.21989	0
MSTRG.30116	421
MSTRG.1963	50
MSTRG.13918	9803
MSTRG.13919	0
MSTRG.13916	0
MSTRG.13917	197
MSTRG.13914	173
MSTRG.13915	0
MSTRG.13912	0
MSTRG.13913	394
MSTRG.13910	3310
MSTRG.13911	624
MSTRG.26512	2197
MSTRG.26513	0
MSTRG.26510	36
MSTRG.26511	26182
MSTRG.26516	472
MSTRG.26517	53
MSTRG.26514	27
MSTRG.26515	665
MSTRG.26518	81
MSTRG.26519	0
MSTRG.12061	855
MSTRG.12060	37
MSTRG.12063	350
MSTRG.12062	30
MSTRG.12065	0
MSTRG.12064	21
MSTRG.12067	0
MSTRG.12066	0
MSTRG.12069	59
MSTRG.12068	0
MSTRG.17747	139
MSTRG.17746	516
MSTRG.17745	0
MSTRG.17744	0
MSTRG.17743	2888
MSTRG.17742	71
MSTRG.17741	0
MSTRG.17740	0
MSTRG.17749	202
MSTRG.17748	2081
MSTRG.24859	35
MSTRG.24858	0
MSTRG.3022	19284
MSTRG.3023	39681
MSTRG.3024	106
MSTRG.3025	5
MSTRG.3026	0
MSTRG.3027	0
MSTRG.3028	16116
MSTRG.3029	18583
MSTRG.24853	0
MSTRG.24852	0
MSTRG.16296	187
MSTRG.24854	0
MSTRG.24857	13
MSTRG.24856	98
MSTRG.28169	0
MSTRG.28168	0
MSTRG.28165	1158
MSTRG.28164	42
MSTRG.28167	0
MSTRG.28166	97
MSTRG.28161	0
MSTRG.28160	0
MSTRG.28163	0
MSTRG.28162	17
MSTRG.30159	0
MSTRG.6903	0
MSTRG.32800	2
MSTRG.11749	0
MSTRG.9706	53
MSTRG.9705	0
MSTRG.9704	762
MSTRG.9703	22
MSTRG.9702	650
MSTRG.9701	1034
MSTRG.4556	0
MSTRG.4559	317
MSTRG.4558	8075
MSTRG.11743	0
MSTRG.11742	97
