Gene stable ID	STRING ID
AT3G08970	3702.AT3G08970.1
AT1G34640	
AT2G13275	
AT5G38420	3702.AT5G38420.1
AT4G11790	3702.AT4G11790.1
AT3G62620	
AT3G62620	
AT3G62620	
AT3G62620	
AT3G62620	
AT3G62620	
AT3G62620	
AT3G62620	
AT3G62620	
AT3G62620	
AT5G37910	3702.AT5G37910.1
AT2G34940	3702.AT2G34940.1
AT2G18720	
AT2G18720	3702.AT2G18720.1
AT2G18720	3702.AT2G18720.1
AT3G51780	3702.AT3G51780.1
AT4G05130	3702.AT4G05130.1
AT5G11320	3702.AT5G11320.1
AT5G11320	
AT5G63910	3702.AT5G63910.1
AT2G20320	
AT2G20320	
AT3G14880	3702.AT3G14880.1
AT3G14880	
AT2G16190	
AT2G16190	
AT1G50310	3702.AT1G50310.1
AT1G50310	
AT4G02730	3702.AT4G02730.1
AT3G45600	3702.AT3G45600.1
AT3G45600	
AT4G11175	3702.AT4G11175.1
AT4G21350	3702.AT4G21350.1
AT3G25573	
AT4G25670	3702.AT4G25670.1
AT4G25670	3702.AT4G25670.1
AT2G27300	3702.AT2G27300.1
AT1G49430	
AT1G49430	3702.AT1G49430.1
AT3G59110	3702.AT3G59110.1
AT3G04570	3702.AT3G04570.1
AT5G59120	3702.AT5G59120.1
AT2G31800	3702.AT2G31800.1
AT5G43420	3702.AT5G43420.1
AT1G74240	3702.AT1G74240.1
AT1G74240	
AT3G10320	3702.AT3G10320.1
AT3G02640	3702.AT3G02640.1
AT3G03110	3702.AT3G03110.1
ATCG00065	
AT1G01760	
AT1G01760	
AT1G01760	
AT1G01760	
AT3G28917	3702.AT3G28917.1
AT3G19960	3702.AT3G19960.2
AT3G19960	
AT3G19960	3702.AT3G19960.2
AT3G19960	3702.AT3G19960.2
AT3G19960	
AT3G14820	
AT3G45630	3702.AT3G45630.1
AT3G45630	3702.AT3G45630.1
AT2G46420	
AT2G46420	
AT2G46420	
AT3G18905	
AT2G37805	
AT1G61160	3702.AT1G61160.1
AT4G30410	3702.AT4G30410.2
AT4G30410	3702.AT4G30410.2
AT4G27140	3702.AT4G27140.1
AT5G04347	
AT5G04347	
AT3G20560	3702.AT3G20560.1
AT2G36420	3702.AT2G36420.1
AT1G47480	3702.AT1G47480.1
AT2G33580	3702.AT2G33580.1
AT5G53330	3702.AT5G53330.1
AT1G65820	3702.AT1G65820.3
AT1G65820	
AT1G65820	
AT1G22900	3702.AT1G22900.1
AT5G11050	3702.AT5G11050.1
AT5G61700	
AT5G61700	3702.AT5G61700.1
AT5G61700	
AT5G61700	
AT2G38010	
AT2G38010	
AT2G38010	3702.AT2G38010.2
AT1G52080	3702.AT1G52080.1
AT1G52080	3702.AT1G52080.1
AT2G20625	
AT2G20625	
AT2G19490	3702.AT2G19490.1
AT1G35180	3702.AT1G35180.1
